text_index,emotion,company
36,adequate,Apple
43,happy,Apple
48,happy,Apple
48,happy,Apple
51,attached,Apple
62,fearful,Apple
70,happy,Apple
74,happy,Apple
82,attracted,Apple
88,free,Apple
97,derailed,Apple
101,independent,Apple
101,happy,Apple
107,ecstatic,Apple
121,happy,Apple
125,happy,Apple
129,sad,Apple
135,happy,Apple
141,happy,Apple
164,happy,Apple
170,alone,Apple
174,happy,Apple
185,happy,Apple
185,happy,Apple
204,sad,Apple
209,happy,Apple
215,sad,Apple
217,happy,Apple
223,lost,Apple
228,happy,Apple
230,attached,Apple
233,sad,Apple
248,demoralized,Apple
254,fearless,Apple
255,happy,Apple
260,happy,Apple
260,happy,Apple
260,happy,Apple
265,happy,Apple
267,demoralized,Apple
267,happy,Apple
267,loved,Apple
269,happy,Apple
269,happy,Apple
273,powerless,Apple
274,demoralized,Apple
282,sad,Apple
310,fearless,Apple
313,happy,Apple
313,happy,Apple
313,sad,Apple
313,happy,Apple
325,happy,Apple
327,apathetic,Apple
328,happy,Apple
330,happy,Apple
332,happy,Apple
336,happy,Apple
336,ecstatic,Apple
352,fearless,Apple
355,happy,Apple
364,safe,Apple
364,adequate,Apple
366,esteemed,Apple
367,happy,Apple
386,free,Apple
387,angry,Apple
407,attached,Apple
414,happy,Apple
414,lustful,Apple
417,powerless,Apple
440,sad,Apple
445,happy,Apple
456,happy,Apple
473,esteemed,Apple
475,sad,Apple
493,happy,Apple
499,hated,Apple
516,happy,Apple
516,happy,Apple
526,lost,Apple
527,happy,Apple
533,fearless,Apple
534,attached,Apple
546,happy,Apple
555,happy,Apple
560,focused,Apple
596,happy,Apple
605,demoralized,Apple
614,sad,Apple
615,happy,Apple
640,happy,Apple
642,happy,Apple
643,angry,Apple
649,happy,Apple
664,happy,Apple
667,free,Apple
669,surprise,Apple
671,sad,Apple
682,happy,Apple
685,free,Apple
687,surprise,Apple
689,sad,Apple
701,powerless,Apple
718,independent,Apple
719,attached,Apple
719,powerless,Apple
723,powerless,Apple
727,happy,Apple
742,happy,Apple
744,powerless,Apple
754,happy,Apple
779,happy,Apple
789,powerless,Apple
817,fearless,Apple
819,powerless,Apple
834,lost,Apple
865,free,Apple
877,attached,Apple
896,alone,Apple
928,attracted,Apple
930,happy,Apple
937,esteemed,Apple
939,angry,Apple
958,sad,Apple
962,sad,Apple
963,powerless,Apple
964,entitled,Apple
969,adequate,Apple
977,powerless,Apple
981,demoralized,Apple
997,independent,Apple
1018,free,Apple
1022,average,Apple
1022,average,Apple
1022,average,Apple
1027,fearful,Apple
1053,happy,Apple
1059,attached,Apple
1059,happy,Apple
1062,lost,Apple
1064,powerless,Apple
1069,sad,Apple
1077,powerless,Apple
1095,free,Apple
1098,free,Apple
1105,esteemed,Apple
1111,esteemed,Apple
1112,happy,Apple
1142,demoralized,Apple
1142,demoralized,Apple
1156,happy,Apple
1171,free,Apple
1172,fearful,Apple
1174,hated,Apple
1177,hated,Apple
1180,happy,Apple
1186,sad,Apple
1190,embarrassed,Apple
1191,powerless,Apple
1195,happy,Apple
1197,happy,Apple
1208,angry,Apple
1213,happy,Apple
1213,happy,Apple
1218,lost,Apple
1218,lost,Apple
1218,lost,Apple
1261,loved,Apple
1262,powerless,Apple
1265,sad,Apple
1278,powerless,Apple
1322,happy,Apple
1323,fearless,Apple
1330,happy,Apple
1330,sad,Apple
1341,average,Apple
1342,sad,Apple
1346,attracted,Apple
1359,powerless,Apple
1362,happy,Apple
1362,free,Apple
1375,alone,Apple
1385,angry,Apple
1388,happy,Apple
1411,surprise,Apple
1422,sad,Apple
1440,adequate,Apple
1448,free,Apple
1454,happy,Apple
1457,fearful,Apple
1464,powerless,Apple
1466,sad,Apple
1473,happy,Apple
1478,loved,Apple
1485,happy,Apple
1487,free,Apple
1487,powerless,Apple
1491,ecstatic,Apple
1501,attracted,Apple
1504,sad,Apple
1522,angry,Apple
1539,adequate,Apple
1550,ecstatic,Apple
1556,powerless,Apple
1561,alone,Apple
1562,angry,Apple
1567,fearful,Apple
1576,angry,Apple
1592,happy,Apple
1594,sad,Apple
1604,safe,Apple
1604,sad,Apple
1605,attached,Apple
1610,happy,Apple
1610,happy,Apple
1650,adequate,Apple
1651,lost,Apple
1669,sad,Apple
1685,sad,Apple
1698,surprise,Apple
1699,lost,Apple
1705,fearless,Apple
1717,surprise,Apple
1728,happy,Apple
1740,anxious,Apple
1745,independent,Apple
1746,fearful,Apple
1765,happy,Apple
1777,happy,Apple
1800,happy,Apple
1820,sad,Apple
1829,happy,Apple
1829,happy,Apple
1833,attracted,Apple
1856,hated,Apple
1864,lost,Apple
1869,happy,Apple
1912,free,Apple
1917,free,Apple
1930,free,Apple
1935,free,Apple
1953,happy,Apple
1957,free,Apple
1959,independent,Apple
1970,powerless,Apple
1978,bored,Apple
1988,happy,Apple
1989,adequate,Apple
1995,happy,Apple
2003,happy,Apple
2012,average,Apple
2012,happy,Apple
2017,hated,Apple
2039,ecstatic,Apple
2042,happy,Apple
2048,happy,Apple
2049,happy,Apple
2051,free,Apple
2054,sad,Apple
2054,sad,Apple
2067,angry,Apple
2068,sad,Apple
2096,obsessed,Apple
2096,powerless,Apple
2113,belittled,Apple
2118,loved,Apple
2118,sad,Apple
2127,lost,Apple
2145,sad,Apple
2149,sad,Apple
2165,happy,Apple
2165,happy,Apple
2172,happy,Apple
2172,sad,Apple
2193,attracted,Apple
2198,happy,Apple
2211,attracted,Apple
2227,free,Apple
2257,free,Apple
2276,happy,Apple
2286,sad,Apple
2290,adequate,Apple
2292,alone,Apple
2309,sad,Apple
2318,sad,Apple
2318,free,Apple
2334,happy,Apple
2336,fearful,Apple
2336,lost,Apple
2336,angry,Apple
2355,attracted,Apple
2366,happy,Apple
2376,belittled,Apple
2376,sad,Apple
2394,happy,Apple
2394,happy,Apple
2394,happy,Apple
2408,sad,Apple
2412,hated,Apple
