text_index,hashtag,company
9,ToTok,Apple
12,fbi,Apple
15,Entrepreneur,Apple
15,respect,Apple
29,iphone4s,Apple
31,BiggestDisappointment,Apple
35,Apple,Apple
35,satellite,Apple
35,connectivity,Apple
35,CommercialSpace,Apple
35,SatelliteCommunications,Apple
35,satcom,Apple
35,SatelliteConstellations,Apple
35,satellites,Apple
35,space,Apple
35,SWGL,Apple
37,Christmas,Apple
37,ArtistOnTwitter,Apple
49,wwdchttps,Apple
51,1,Apple
51,Amazon,Apple
52,1,Apple
52,Amazon,Apple
55,Christmas,Apple
68,AirPodsPro,Apple
70,AirPodpro,Apple
71,iphone7,Apple
71,iOS133,Apple
71,error,Apple
71,llamadas,Apple
71,microyaltavoz,Apple
71,apple,Apple
100,GalaxyNote10,Apple
124,iPhone11Pro,Apple
124,IWantMyPercentage,Apple
126,Mac,Apple
126,US,Apple
129,AppleWatch,Apple
129,AppleMusic,Apple
129,AppleTVPlus,Apple
129,iPhone11,Apple
129,ipad,Apple
130,stevejobs,Apple
131,Watchpic,Apple
137,OCDpic,Apple
141,carplay,Apple
143,vechain,Apple
145,Siri,Apple
145,crosswordpuzzles,Apple
154,todosobremovil,Apple
154,Ofertas,Apple
154,FelizMiercoles,Apple
154,25Diciembre,Apple
154,compras,Apple
154,chollo,Apple
154,Navidad,Apple
154,Apple,Apple
154,MeGustaGHVIP25Dpic,Apple
163,Apple,Apple
163,DVD,Apple
163,music,Apple
163,MusicIsLife,Apple
169,Samsung,Apple
171,CalBears,Apple
176,iPhone11ProMax,Apple
176,Christmas,Apple
176,BabyYoda,Apple
182,flexgate,Apple
182,CustomerService,Apple
198,iPhone11,Apple
198,classic,Apple
198,casepic,Apple
201,ciberpirata,Apple
203,AppleTVPlus,Apple
203,movie,Apple
206,HalaMovie,Apple
209,todosobremovil,Apple
209,Ofertas,Apple
209,FelizMiercoles,Apple
209,25Diciembre,Apple
209,compras,Apple
209,chollo,Apple
209,Navidad,Apple
209,Apple,Apple
209,MeGustaGHVIP25Dpic,Apple
